"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Releases","Missing GitHub artifact attestations for release assets main.js; styles.css Artifact attestations let users cryptographically verify the provenance of the release assets; proving they were built from the source repository.","General / Release Assets","Missing GitHub artifact attestations for release assets main.js; styles.css Artifact attestations let users cryptographically verify the provenance of the release assets; proving they were built from the source repository.","Recommendation"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Behavior","Direct Filesystem Access: Uses the Node.js fs module to access the filesystem outside of the Obsidian vault API. Can read and write any file on the system.","General / Release Assets","Direct Filesystem Access: Uses the Node.js fs module to access the filesystem outside of the Obsidian vault API. Can read and write any file on the system.","Warning"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Behavior","Shell Execution: Executes shell commands via child_process. Gives the plugin full control over the system.","General / Release Assets","Shell Execution: Executes shell commands via child_process. Gives the plugin full control over the system.","Warning"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Behavior","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","General / Release Assets","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","Recommendation"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Behavior","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","General / Release Assets","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Recommendation"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Behavior","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","General / Release Assets","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Recommendation"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Source code","Avoid using ""settings"" in settings headings.","src/features/hub/settingsHub.ts:676","Found Avoid using "settings" in settings headings.","Error"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Source code","Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call","src/features/hub/settingsHub.ts:39","Found Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call","Warning"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Source code","Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call","src/features/hub/settingsHub.ts:47","Found Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call","Warning"
"PakCLI Local","1.0.9","Obsidian-Official-Community","Source code","Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call","src/features/hub/settingsHub.ts:48","Found Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call","Warning"
