"Version","Category","Severity","Rule_ID","Description","File_Path","Line_Numbers","Reference_Link"
"1.0.8","Code obfuscation","Error","obsidianmd/no-dynamic-scripts","Found 4 dynamic <script> element creations. Dynamically injecting script elements can load and execute arbitrary external code.","src/features/ytd/ui/CaptureModal.ts","multiple","https://github.com/pakcli/local/blob/1fe45be31c47dafd9971cf5a40955d118a3a3c5e"
"1.0.8","Source code","Error","obsidianmd/no-html-headings","For a consistent UI use new Setting(containerEl).setName(...).setHeading() instead of creating HTML heading elements directly.","src/features/hub/settingsHub.ts","39, 193, 206, 211, 256","https://github.com/pakcli/local/blob/1fe45be31c47dafd9971cf5a40955d118a3a3c5e/src/features/hub/settingsHub.ts#L39"
"1.0.8","Source code","Error","obsidianmd/no-unsupported-api","Uses Obsidian APIs newer than the declared minAppVersion","src/features/scriptSync/ui/FolderPicker.ts","29","https://github.com/pakcli/local/blob/1fe45be31c47dafd9971cf5a40955d118a3a3c5e/src/features/scriptSync/ui/FolderPicker.ts#L29"
"1.0.8","Source code","Error","obsidianmd/no-static-styles-assignment","Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles","src/features/scriptSync/ui/SyncCodeblockRenderer.ts","56, 60, 83","https://github.com/pakcli/local/blob/1fe45be31c47dafd9971cf5a40955d118a3a3c5e/src/features/scriptSync/ui/SyncCodeblockRenderer.ts#L56"
"1.0.8","Repository","Warning","github/issues-enabled","Repository issues are disabled on pakcli/local","repo","-","https://github.com/pakcli/local"
"1.0.8","Releases","Recommendation","github/artifact-attestations","Missing GitHub artifact attestations for release assets main.js, styles.css. Artifact attestations prove provenance.",".github/workflows/release.yml","-","https://docs.github.com/en/actions/security-for-github-actions/using-artifact-attestations"
"1.0.8","Behavior","Warning","obsidian/system-identity-access","Plugin reads system identity information (os.hostname, os.userInfo, os.networkInterfaces, or env variables).","src/features/hub/wizard.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Behavior","Warning","obsidian/direct-fs-access","Direct Filesystem Access: Uses Node.js fs module to access filesystem outside vault API.","src/utils/nodeHelpers.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Behavior","Warning","obsidian/shell-execution","Shell Execution: Executes shell commands via child_process.","src/features/ytd/utils/process.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Behavior","Recommendation","obsidian/vault-enumeration","Vault Enumeration: Enumerates all files in the vault (vault.getFiles, getMarkdownFiles).","src/features/symlink/reindex.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Behavior","Recommendation","obsidian/clipboard-access","Clipboard Access: Reads or writes the system clipboard.","src/features/scriptSync/ui/SyncCodeblockRenderer.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Behavior","Recommendation","obsidian/dynamic-code-execution","Dynamic Code Execution: Executes code via eval() or new Function().","src/features/scriptSync/SyncManager.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Source code","Warning","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","src/features/hub/eventBus.ts, settingsHub.ts, vaultConfig.ts, wizard.ts, SyncManager.ts, symlink/modal.ts, ytd/process.ts, main.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Source code","Warning","obsidianmd/prefer-create-el","Uses document.createElement instead of Obsidian createEl helpers.","src/features/ytd/settings.ts, src/features/ytd/ui/CaptureModal.ts, SetupModal.ts","103, 131, 329, 330, 425","https://github.com/pakcli/local"
"1.0.8","Source code","Warning","obsidian/config-dir","Obsidian configuration folder is not necessarily .obsidian. Use Vault#configDir instead.","src/features/hub/settingsHub.ts, src/features/hub/vaultConfig.ts, src/features/ytd/utils/downloader.ts","48, 3, 22","https://github.com/pakcli/local"
"1.0.8","Source code","Warning","obsidian/window-set-timeout","Use window.setTimeout() instead of setTimeout() for popout window compatibility.","src/features/scriptSync/ui/SyncCodeblockRenderer.ts","99","https://github.com/pakcli/local"
"1.0.8","Source code","Warning","obsidian/avoid-console-log","Avoid unnecessary logging to console.","src/main.ts","32, 106, 110","https://github.com/pakcli/local"
"1.0.8","Source code","Warning","obsidian/settings-search-definition","PluginSettingTab does not implement getSettingDefinitions() for Obsidian 1.13.0+ settings search.","src/features/hub/settingsHub.ts, src/features/symlink/settings.ts","16, 15","https://github.com/pakcli/local"
"1.0.8","Source code","Warning","@typescript-eslint/no-floating-promises","Promises must be awaited, end with .catch, or be explicitly ignored with void.","src/features/scriptSync/ui/PendingChangesModal.ts, ScanSyncModal.ts, ytd/settings.ts, CaptureModal.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Source code","Recommendation","no-unused-vars","Unused variables: 'err', 'FileSystemAdapter', 'PathUtils', 'renderDiffViewer', 'langBadge', 'statusBadge', 'App'.","src/features/hub/wizard.ts, SyncCodeblockRenderer.ts, main.ts","multiple","https://github.com/pakcli/local"
"1.0.8","Network requests","Pass","security/network-patterns","No suspicious network patterns found.","-","-","-"
"1.0.8","Dependencies","Pass","security/vulnerable-dependencies","No vulnerable dependencies found.","package.json","-","-"
"1.0.8","Build verification","Pass","reproducibility/byte-for-byte","Build reproduced the release main.js byte-for-byte.","main.js","-","-"
